Conflict,Size_company,Time,Clr,Returns,Workers,Osn_sred,Zapas,Deb_dolg,Active,Sr_obiaz,Sobs_capital,Renue,Sebestoist_sales,Profit,Profit_pure,Period_dolg_dnu,Period_zapas_dni,Period_deb_dolg_dni,Koef_autonomi,Cfl,Cal,proba,logit,pred,match,distance
1,1,0,2.1591,0.0943,7.0,1170000.0,4178000.0,1513000.0,11184000,4570000,5826000,26985000,23431000.0,3186000.0,2544000.0,49.2,41.4,21,0.5209,1.2449,0.9138,0.0057529829506146705,-5.152267189569044,0,29505.0,-3.242144569348682e-05
1,1,0,1.6809,0.0253,8.0,4470000.0,1361000.0,7741000.0,13878000,5597000,7762000,36595000,11402000.0,1479000.0,925000.0,140.24,6.8,76,0.5593,1.4377,0.0279,0.005764120377202437,-5.150321919711953,0,26328.0,-1.405960295652875e-05
1,0,1,1.4036,0.0093,6.0,2727000.0,386000.0,4579000.0,16072000,9508000,6564000,47636000,47713000.0,629000.0,443000.0,285.22,3.7,125,0.4084,1.363,0.8814,0.005823351894581363,-5.140038882393901,0,23830.0,-5.900563127081426e-05
1,0,0,0.5013,0.0067,16.0,8074000.0,46000.0,2305000.0,23454000,8537000,14918000,104482000,100528000.0,3836000.0,696000.0,23.14,0.1,7,0.6361,0.496,0.226,0.005825983686754517,-5.139584399590854,0,7988.0,-3.715271772186668e-05
1,1,0,1.5202,0.0187,20.0,37046000.0,32000.0,12396000.0,52455000,10137000,42318000,78647000,23783000.0,4010000.0,1470000.0,105.26,0.2,39,0.8067,1.517,0.2942,0.005852683036905926,-5.134985206986935,0,30908.0,-2.7731412872711303e-05
1,1,0,2.3864,-0.0332,12.0,21213000.0,585000.0,11173000.0,44831000,9897000,26934000,28136000,21516000.0,-264000.0,-935000.0,135.9,3.9,113,0.6008,2.3273,1.1983,0.005857580856453971,-5.134143779986317,0,23174.0,-9.087376207084219e-06
1,0,0,2.2349,0.0157,11.0,100000.0,41459000.0,48397000.0,135231000,60465000,74766000,41304000,25717000.0,1421000.0,648000.0,803.24,282.4,464,0.5529,1.5492,0.5568,0.0058615636934365835,-5.1334600590209964,0,10168.0,-1.3532351565537226e-05
1,1,1,9.4908,0.0016,7.0,541000.0,417000.0,14797000.0,16030000,1632000,9370000,38930000,37798000.0,469000.0,61000.0,21.01,9.8,110,0.5845,9.2353,0.1685,0.00587045466409342,-5.131935439071394,0,29482.0,-7.35749063807134e-06
1,0,0,6.7896,0.0079,8.0,4000.0,7546000.0,12808000.0,20366000,2999000,17368000,202668000,189630000.0,2024000.0,1594000.0,8.47,15.5,23,0.8528,4.2734,0.0017,0.005880266755501585,-5.13025552791931,0,12883.0,-2.2202901245549356e-05
1,1,0,4.6225,0.0135,2.0,1408000.0,776000.0,117552000.0,119887000,25631000,1775000,23763000,18838000.0,523000.0,321000.0,207.46,22.5,1617,0.0148,4.5922,0.0059,0.005890411920428344,-5.128521519381857,0,26699.0,-2.9811836800952562e-05
1,1,0,1.4659,0.0522,6.0,2294000.0,7383000.0,13296000.0,23105000,14170000,8518000,18179000,18349000.0,1212000.0,949000.0,146.7,124.0,273,0.3687,0.9449,0.0066,0.005942279283340455,-5.119702496594261,0,23156.0,-4.5731004418847476e-05
1,1,0,1.5846,0.0385,9.0,33000.0,201000.0,1082000.0,1598000,987000,611000,16660000,15794000.0,840000.0,642000.0,19.23,2.9,45,0.3824,1.381,0.2847,0.005966179535359087,-5.115664451962953,0,1321.0,-1.1724591111317295e-06
1,1,1,0.7864,0.0028,1.0,1726000.0,56000.0,3976000.0,6137000,5609000,528000,5676000,756000.0,20000.0,16000.0,3872.57,5.2,406,0.086,0.7764,0.0676,0.00596871251413212,-5.115237437632782,0,25418.0,-4.327320922481448e-05
1,1,1,2.0995,0.0131,10.0,70000.0,4971000.0,13860000.0,19736000,9367000,10357000,26419000,24883000.0,398000.0,346000.0,109.64,82.2,166,0.5248,1.5688,0.0891,0.005991074324260134,-5.1114754371588145,0,1849.0,-3.119421952213486e-05
1,0,1,3.8908,0.0207,8.0,4000.0,9621000.0,12848000.0,22564000,5798000,16765000,200734000,181767000.0,5186000.0,4152000.0,22.54,16.3,31,0.743,2.2315,0.015,0.005991321376225035,-5.111433952796323,0,30681.0,-2.4991553750908224e-06
1,1,1,2.1639,0.0399,11.0,87000.0,1813000.0,8028000.0,9950000,4558000,5392000,50205000,46579000.0,2713000.0,2002000.0,51.4,15.4,65,0.5419,1.7661,0.0048,0.005998331924515508,-5.110257466804872,0,30005.0,-4.594249585210264e-05
1,1,0,1.3552,0.0191,5.0,1611000.0,2436000.0,5330000.0,12671000,8161000,4510000,36180000,35200000.0,884000.0,692000.0,119.74,12.3,53,0.3559,1.0567,0.4036,0.006010360765912975,-5.10824200894482,0,19258.0,-9.401236452433182e-06
1,0,0,1.0381,-0.0279,3.0,3729000.0,19730000.0,8147000.0,32792000,27711000,4993000,24272000,23953000.0,-846000.0,-677000.0,373.61,256.0,151,0.1523,0.3262,0.0103,0.006153023807217009,-5.084639610357625,0,26940.0,-4.427925458649895e-05
1,0,0,1.3042,0.0263,5.0,2301000.0,2215000.0,23376000.0,30264000,21441000,8824000,116427000,111974000.0,3876000.0,3060000.0,42.24,4.1,44,0.2916,1.2009,0.1106,0.006226195074278909,-5.072744216595021,0,25461.0,-7.741103968506025e-06
1,0,0,2.2344,0.043,10.0,4067000.0,7313000.0,18274000.0,33945000,13372000,9639000,178659000,50756000.0,9605000.0,7684000.0,88.26,11.9,40,0.284,1.6875,0.3209,0.00622629926232299,-5.072727378071583,0,14774.0,-2.117995291150976e-05
1,1,0,3.8969,0.0973,19.0,4329000.0,1800000.0,3823000.0,17259000,3318000,8089000,70482000,62402000.0,7573000.0,6861000.0,54.01,27.6,65,0.4687,3.3544,2.2022,0.0062278300042295,-5.0724800169532696,0,22109.0,-2.5273110754397976e-05
1,1,0,1.1764,-0.0013,5.0,97000.0,5736000.0,6369000.0,13342000,11259000,2072000,11026000,6842000.0,74000.0,-14000.0,579.29,167.7,176,0.1553,0.6669,0.0665,0.006227901738828133,-5.072468426441634,0,14501.0,-2.0538686058557687e-05
1,0,1,0.7626,0.0045,1.0,2666000.0,759000.0,5436000.0,9624000,9125000,499000,55594000,55150000.0,336000.0,251000.0,37.97,3.1,25,0.0518,0.6795,0.0837,0.006242981755255098,-5.070034814685224,0,25629.0,-1.7066543562371805e-05
1,1,1,1.4002,0.0507,1.0,24906000.0,42070000.0,44432000.0,113663000,63389000,43440000,90944000,15248000.0,5387000.0,4615000.0,152.09,104.7,144,0.3822,0.7365,0.0356,0.00624806008569886,-5.069216588801322,0,22289.0,-3.862924631459208e-05
1,1,0,1.4684,0.0475,13.0,46000.0,4630000.0,2160000.0,7573000,5126000,2447000,51081000,45127000.0,3573000.0,2424000.0,64.15,53.4,13,0.3231,0.5652,0.1438,0.006249130685228787,-5.069044177039364,0,24592.0,-2.5204084436403207e-05
1,1,1,1.0043,0.0018,3.0,142000.0,659000.0,5099000.0,6271000,6103000,168000,7259000,7235000.0,16000.0,13000.0,263.37,22.1,234,0.0268,0.8963,0.0608,0.00625710940054745,-5.067760190460872,0,26297.0,-2.6022851827178783e-05
1,1,1,1.186,0.0264,5.0,180000.0,4398000.0,4252000.0,12584000,10459000,2104000,10450000,5233000.0,349000.0,276000.0,661.54,143.2,158,0.1672,0.7655,0.0628,0.006258049659168764,-5.0676089851247665,0,13394.0,-2.7145631298353123e-06
1,0,1,2.627,0.0028,18.0,678000.0,12943000.0,34816000.0,49130000,18444000,30686000,124940000,137775000.0,1753000.0,349000.0,95.0,35.9,153,0.6246,1.9253,0.0376,0.006259888893344019,-5.067313278543979,0,18407.0,-1.1932813540838083e-05
1,1,1,1.1401,-0.0949,2.0,8485000.0,21708000.0,9251000.0,39644000,27330000,12314000,31955000,32698000.0,-1719000.0,-3033000.0,347.54,282.0,92,0.3106,0.3458,0.0073,0.006268556288101686,-5.065920921749356,0,6921.0,-2.6311892224128997e-05
1,1,1,0.7682,0.0228,6.0,2378000.0,500000.0,5277000.0,8774000,8326000,448000,7357000,7233000.0,181000.0,168000.0,428.81,12.4,277,0.0511,0.7081,0.0743,0.006285082380928518,-5.06327141281793,0,31258.0,-7.880783045699502e-06
1,1,0,1.0539,0.0073,4.0,119000.0,1856000.0,790000.0,4011000,3692000,307000,12379000,12296000.0,114000.0,90000.0,127.42,80.6,20,0.0765,0.5512,0.3372,0.006298865346812805,-5.061066978587124,0,4653.0,-1.561036970354479e-05
1,1,0,1.1139,0.0063,5.0,103000.0,606000.0,820000.0,3453000,2993000,460000,48761000,17429000.0,305000.0,305000.0,130.78,6.0,34,0.1332,0.9115,0.6091,0.006298878858885812,-5.061064819831857,0,6105.0,-1.6495500871904767e-05
1,1,0,1.0474,0.0018,5.0,62000.0,1239000.0,10637000.0,12090000,11456000,612000,19333000,19252000.0,47000.0,34000.0,221.08,16.5,197,0.0506,0.9392,0.0107,0.006318462931635404,-5.057940798519735,0,32406.0,-1.9934649930775095e-05
1,1,1,1.3708,0.0224,3.0,7764000.0,29018000.0,5713000.0,52759000,32824000,13715000,41171000,32403000.0,1184000.0,924000.0,219.03,197.7,70,0.26,0.4867,0.0026,0.00632161802482126,-5.057438402941081,0,11255.0,-1.8194231159895935e-05
1,1,0,1.0137,0.008,5.0,77000.0,4239000.0,8906000.0,13941000,13677000,264000,12007000,11865000.0,118000.0,96000.0,304.64,74.4,207,0.0189,0.7037,0.0526,0.006358247527860166,-5.051623938257159,0,18201.0,-2.0279371863551887e-05
1,1,0,0.7367,0.0299,15.0,3373000.0,9000.0,3023000.0,6986000,4904000,2082000,50447000,37664000.0,1884000.0,1507000.0,89.73,0.3,49,0.298,0.7349,0.0746,0.006365345358267682,-5.050501098935625,0,3248.0,-5.795991979695714e-07
1,1,0,1.0788,0.0007,3.0,230000.0,6990000.0,7217000.0,17993000,16467000,1526000,29825000,31823000.0,127000.0,20000.0,182.87,89.5,94,0.0848,0.6543,0.216,0.006366103040113289,-5.050381311160327,0,15563.0,-2.0932872784484857e-05
1,1,1,1.0437,0.0023,3.0,80000.0,510000.0,10223000.0,12485000,11886000,578000,18586000,18505000.0,54000.0,43000.0,191.33,27.4,152,0.0463,1.0008,0.1407,0.0063731161006304144,-5.049273234132629,0,19645.0,-4.7054696143078445e-05
1,0,0,2.1547,0.0263,24.0,23228000.0,7804000.0,47872000.0,81213000,26912000,51222000,118352000,117083000.0,3879000.0,3114000.0,101.15,35.5,188,0.6307,1.8647,0.0858,0.006389628236889273,-5.046669061888273,0,7345.0,-8.530907488868422e-06
1,1,1,1.0114,0.0115,2.0,282000.0,204000.0,6322000.0,13252000,12823000,429000,30817000,28196000.0,444000.0,353000.0,150.53,3.6,87,0.0324,0.9956,0.5025,0.006409857229573569,-5.0434877928007245,0,23209.0,-9.857110212507791e-06
1,1,1,1.1001,0.0182,5.0,145000.0,18251000.0,31971000.0,51037000,46109000,4674000,14415000,12301000.0,342000.0,263000.0,1301.83,405.8,818,0.0916,0.7043,0.0109,0.006427829573966415,-5.040669767505743,0,32031.0,-1.3469573986846228e-05
1,1,1,1.117,0.0675,13.0,58000.0,10312000.0,1392000.0,12049000,10735000,1313000,19166000,14135000.0,3768000.0,1293000.0,138.6,98.2,13,0.109,0.1563,0.0266,0.006434483447358585,-5.0396284395486575,0,23627.0,-2.3850589102814013e-05
1,1,0,1.2118,0.0106,6.0,14000.0,5864000.0,7647000.0,13639000,11244000,2395000,60949000,59498000.0,856000.0,647000.0,99.86,66.2,51,0.1756,0.6903,0.0102,0.006436284315886131,-5.039346788458766,0,17961.0,-6.979462390255264e-06
1,1,1,0.9965,0.0096,6.0,918000.0,3634000.0,2154000.0,6836000,5939000,897000,6121000,6002000.0,76000.0,59000.0,382.54,294.8,76,0.1312,0.3846,0.0219,0.006478350652790063,-5.032789903667302,0,28832.0,-1.2413472179950702e-05
1,1,1,1.1205,0.0182,4.0,29000.0,7632000.0,8103000.0,17309000,15421000,1507000,36284000,35281000.0,850000.0,660000.0,141.73,83.7,56,0.0871,0.6256,0.1002,0.0064859939557697895,-5.031603083575669,0,23568.0,-1.5870297956688262e-05
1,1,1,1.1594,0.0191,6.0,1438000.0,5000.0,5216000.0,18752000,14934000,3818000,72729000,70956000.0,1712000.0,1387000.0,62.24,0.2,15,0.2036,1.159,0.8098,0.006494681790752117,-5.030255759014742,0,8785.0,-2.7444029718992624e-05
1,0,1,1.1062,0.0362,8.0,7137000.0,4383000.0,20586000.0,38304000,28174000,5175000,139577000,48455000.0,6317000.0,5054000.0,43.13,9.9,54,0.1351,0.9506,0.22,0.006495561755879382,-5.030119392368262,0,20994.0,-1.539058013833028e-05
1,1,1,0.9335,0.0078,7.0,941000.0,4776000.0,2255000.0,8323000,7908000,414000,10882000,10684000.0,100000.0,85000.0,178.37,106.5,58,0.0497,0.3295,0.0444,0.0065026185857285125,-5.029026471152101,0,9906.0,-7.366512219242338e-05
1,1,0,1.0137,0.0044,5.0,1723000.0,1042000.0,22335000.0,25104000,23067000,2037000,39745000,39504000.0,218000.0,174000.0,129.28,21.5,112,0.0811,0.9685,0.0002,0.006509381160645681,-5.027980227516797,0,20897.0,-2.0804922793438152e-05
1,1,0,1.0561,0.0151,6.0,1841000.0,6541000.0,42007000.0,50624000,46193000,3314000,34613000,33902000.0,652000.0,522000.0,438.24,47.7,414,0.0655,0.9145,0.0051,0.00651549449645156,-5.027035357083694,0,16584.0,-9.478923198358302e-06
1,1,0,0.9358,-0.0099,7.0,935000.0,6492000.0,3031000.0,10613000,10342000,271000,14412000,14117000.0,-133000.0,-143000.0,235.94,142.7,67,0.0255,0.3081,0.015,0.006515610960692966,-5.027017365049585,0,18083.0,-1.3048303822316143e-05
1,1,1,62.3021,0.0438,34.0,2772000.0,54003000.0,130395000.0,190035000,2999000,187035000,145462000,144184000.0,7681000.0,6364000.0,10.03,153.9,306,0.9842,44.2951,0.8156,0.006541741436612895,-5.022988641842431,0,15518.0,-1.1331717677087738e-05
1,1,0,1.2894,0.0108,3.0,283000.0,4575000.0,20777000.0,28086000,21562000,457000,47199000,47062000.0,654000.0,508000.0,97.97,18.3,93,0.0163,1.0773,0.1137,0.006542335760909019,-5.022897196647858,0,2609.0,-2.92375660393418e-06
