№,Name,Reg_number,Name_Full,Company_year,Size_company,Conflict,T,Capital,Clr,Returns,Ndter,Rddta,Total_debt
40,"1000 МЕТРОВ, ООО",1.16E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""1000 МЕТРОВ""",7.5,0,0,1,3371000,2.8136,0.0049,-0.0383,0.0727,1006000
44,"101.6, ООО РА",1.06E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ РЕКЛАМНОЕ АГЕНТСТВО ""101.6""",18,,0,0,-1638000,0.8392,-0.2004,-0.8675,0.9752,4699000
44,"101.6, ООО РА",1.06E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ РЕКЛАМНОЕ АГЕНТСТВО ""101.6""",18,,0,1,-3939000,0.1199,0.0029,-0.2876,0.9824,4393000
46,"102ИСТОКА, ООО",1.16E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""102ИСТОКА""",6,0,0,0,169000,0.6975,0.0255,-0.3491,0.6217,2165000
46,"102ИСТОКА, ООО",1.16E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""102ИСТОКА""",6,0,0,1,1221000,1.1168,-0.1897,-0.0999,0.8974,8723000
49,"12 МЕСЯЦЕВ, ООО",1.06E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""12 МЕСЯЦЕВ""",18,0,0,1,47833000,9.9438,0.4902,0.1733,0.092,14833000
49,"12 МЕСЯЦЕВ, ООО",1.06E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""12 МЕСЯЦЕВ""",18,0,0,0,48832000,2.9439,0.4269,0.0488,0.1144,36582000
50,"12 ОКТЯБРЬ, КОЛХОЗ",1.03E+12,"КОЛХОЗ ""12 ОКТЯБРЬ""",30,0,0,1,83740000,3.6948,0.0808,-0.0037,0.0179,13516000
50,"12 ОКТЯБРЬ, КОЛХОЗ",1.03E+12,"КОЛХОЗ ""12 ОКТЯБРЬ""",30,0,0,0,81665000,4.0935,0.1277,0.0071,0.0285,13339000
53,"14 РЕГИОН, ООО",1.16E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""14 РЕГИОН""",7,0,0,0,23075000,1.3837,0.0032,2.5642,0.0423,60133000
53,"14 РЕГИОН, ООО",1.16E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""14 РЕГИОН""",7,0,0,1,51608000,1.3717,0.0032,1.757,0.0704,98481000
54,"15-УК ПРЕОБРАЖЕНИЕ, ООО",1.11E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЯТНАДЦАТАЯ УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ПРЕОБРАЖЕНИЕ""",11.5,0,0,0,3436000,1.6394,0.0333,-0.0166,0.9677,5363000
54,"15-УК ПРЕОБРАЖЕНИЕ, ООО",1.11E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЯТНАДЦАТАЯ УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ПРЕОБРАЖЕНИЕ""",11.5,0,0,1,809000,1.068,0.0184,0.0012,0.9606,11564000
56,"179 ПСК, АО",1.03E+12,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""179 ПРОМЫШЛЕННО-СТРОИТЕЛЬНЫЙ КОМБИНАТ""",29,0,0,1,29188000,2.0798,0.2387,-0.0475,0.6831,16162000
56,"179 ПСК, АО",1.03E+12,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""179 ПРОМЫШЛЕННО-СТРОИТЕЛЬНЫЙ КОМБИНАТ""",29,0,0,0,25386000,2.6671,0.2839,-0.0204,0.1983,8384000
57,"18 МАРТА, ООО",1.06E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""18 МАРТА""",16.5,0,0,0,30892000,4.0998,-0.4201,0.1264,0.062,6958000
57,"18 МАРТА, ООО",1.06E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""18 МАРТА""",16.5,0,0,1,30584000,4.8801,0.0377,0.1316,0.0328,8575000
58,"19 ДЮЙМОВ, ООО",1.2E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""19 ДЮЙМОВ""",3.5,0,0,1,2563000,1.187,0.0602,-3.7132,0.2485,12707000
61,"1А, ООО",1.16E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""1А""",7,1,0,0,183663000,3.755,0.2331,-0.0199,0.3492,66372000
61,"1А, ООО",1.16E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""1А""",7,1,0,1,248919000,3.1123,0.2285,0.0995,0.4258,102706000
63,"1КИЛОМЕТР, ООО",1.18E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""1КИЛОМЕТР""",5.5,0,0,0,10000,1.0368,0.3631,22.9,0.7766,272000
63,"1КИЛОМЕТР, ООО",1.18E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""1КИЛОМЕТР""",5.5,0,0,1,10000,1.0204,0.1725,-8.1,0.144,490000
64,"1КУЛЯТЦЫ, ПК",1.02E+12,"ПРОИЗВОДСТВЕННЫЙ СЕЛЬСКОХОЗЯЙСТВЕННЫЙ КООПЕРАТИВ ""1 КУЛЯТСКИЙ""",30,0,0,0,92448000,0.3796,-0.048,-0.1607,0.0523,59970000
64,"1КУЛЯТЦЫ, ПК",1.02E+12,"ПРОИЗВОДСТВЕННЫЙ СЕЛЬСКОХОЗЯЙСТВЕННЫЙ КООПЕРАТИВ ""1 КУЛЯТСКИЙ""",30,0,0,1,94751000,0.3336,-0.2215,-0.012,0.0473,61684000
66,"1С-СОФТКЛАБ, ООО",1.09E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""1С-СОФТКЛАБ""",14.5,1,0,1,611865000,1.2552,0.0354,-0.0032,0.7926,2331766000
66,"1С-СОФТКЛАБ, ООО",1.09E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""1С-СОФТКЛАБ""",14.5,1,0,0,229973000,1.1993,-0.0979,-0.2236,0.895,1130462000
67,"1СТЭП, ООО",1.19E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""1СТЭП""",4.5,0,0,1,8535000,1.1436,0.1222,-0.0081,0.6599,59428000
68,"2 МЕТАЛЛА, ООО",1.18E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""2 МЕТАЛЛА""",5,0,0,1,10000,0.7145,-0.015,-10.3,0.1511,2333000
68,"2 МЕТАЛЛА, ООО",1.18E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""2 МЕТАЛЛА""",5,0,0,0,10000,1.0068,0.0494,-27.3,0.3678,1469000
71,"21 ВЕК, ООО",1.12E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""21 ВЕК""",10.5,0,1,1,20000,1.087,0.065,-1.5,,230000
71,"21 ВЕК, ООО",1.12E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""21 ВЕК""",10.5,0,1,0,370000,1.9024,0.0594,-0.1135,,410000
72,"21 ВЕК, ООО",1.18E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""21 ВЕК""",4.5,0,1,0,370000,16.0921,,-1.1108,0.0286,853000
72,"21 ВЕК, ООО",1.18E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""21 ВЕК""",4.5,0,1,1,2801000,23.0769,,0.1264,0.9994,499000
73,"21 ВЕК, ООО УК",1.17E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ""21 ВЕК""",5,0,0,1,471000,4.0192,0.1917,-0.0361,0.9458,156000
73,"21 ВЕК, ООО УК",1.17E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ""21 ВЕК""",5,0,0,0,17000,1.0561,0.0466,-4.2353,0.7094,303000
74,"21-ВЕК, ООО",1.03E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""21-ВЕК""",23,0,0,1,26357000,13.5079,0.0629,-0.0171,0.7449,6416000
74,"21-ВЕК, ООО",1.03E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""21-ВЕК""",23,0,0,0,25704000,9.8452,0.0746,0.4765,0.7572,24697000
75,"214 УНР, ООО",1.06E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""214 УПРАВЛЕНИЕ НАЛАДОЧНЫХ РАБОТ""",16.5,0,0,0,1024000,2.2337,-0.0317,-0.0605,0.4444,830000
75,"214 УНР, ООО",1.06E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""214 УПРАВЛЕНИЕ НАЛАДОЧНЫХ РАБОТ""",16.5,0,0,1,8438000,11.8487,0.393,-0.2425,0.6904,1741000
77,"23 BUS, ООО",1.08E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""23 BUS""",14.5,0,0,0,4437000,3.8644,0.0184,-0.0273,0.9798,1549000
77,"23 BUS, ООО",1.08E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""23 BUS""",14.5,0,0,1,3088000,3.9865,-0.1171,-0.01,0.9925,1034000
78,"23 КВАРТАЛ, ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК",1.2E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""23 КВАРТАЛ""",3.5,,0,1,-112000,0.0002,,0.0089,,149633000
